1;1;2018;21;0;0
2;1;2018;20;58;3
3;1;2018;9;51;1
4;1;2018;10;32;2
5;1;2018;8;23;3
6;1;2018;2;55;2
7;1;2018;8;26;-1
8;1;2018;11;47;-2
9;1;2018;20;2;-2
10;1;2018;3;40;0
11;1;2018;23;54;-2
12;1;2018;17;26;-5
13;1;2018;6;39;-7
14;1;2018;0;49;-5
15;1;2018;14;3;-8
16;1;2018;7;48;-10
17;1;2018;0;58;-7
18;1;2018;8;58;-6
19;1;2018;0;54;-3
20;1;2018;20;53;-6
21;1;2018;23;17;-10
22;1;2018;17;56;-11
23;1;2018;1;18;-12
24;1;2018;16;56;-5
25;1;2018;0;59;1
26;1;2018;7;5;3
27;1;2018;21;31;1
28;1;2018;1;44;1
29;1;2018;18;37;-2
30;1;2018;23;20;-6
31;1;2018;17;41;-10
1;2;2018;23;24;-9
2;2;2018;2;2;-2
3;2;2018;21;39;-5
4;2;2018;20;17;-8
5;2;2018;3;53;-7
6;2;2018;19;16;-9
7;2;2018;18;28;-7
8;2;2018;5;50;-6
9;2;2018;11;6;-5
10;2;2018;8;57;-4
11;2;2018;7;52;-4
12;2;2018;15;35;-2
13;2;2018;2;8;-2
14;2;2018;16;53;-8
15;2;2018;19;18;-11
16;2;2018;3;20;-7
17;2;2018;22;33;-5
18;2;2018;19;46;-4
19;2;2018;3;17;-6
20;2;2018;13;45;-11
21;2;2018;17;2;-15
22;2;2018;15;44;-14
23;2;2018;20;42;-13
24;2;2018;6;36;-14
25;2;2018;21;9;-11
26;2;2018;19;53;-14
27;2;2018;12;38;-17
28;2;2018;13;59;-17
1;3;2018;15;50;-16
2;3;2018;0;43;-13
3;3;2018;22;22;-10
4;3;2018;14;17;-11
5;3;2018;21;26;-11
6;3;2018;0;55;-10
7;3;2018;0;35;-9
8;3;2018;2;14;-6
9;3;2018;3;4;-2
10;3;2018;11;7;-2
11;3;2018;18;25;0
12;3;2018;19;47;-1
13;3;2018;20;30;2
14;3;2018;1;13;0
15;3;2018;20;50;-7
16;3;2018;13;29;-9
17;3;2018;7;45;-7
18;3;2018;1;24;-3
19;3;2018;15;16;0
20;3;2018;4;30;-1
21;3;2018;17;31;-7
22;3;2018;9;23;-1
23;3;2018;10;37;-4
24;3;2018;11;25;-5
25;3;2018;15;43;2
26;3;2018;8;59;-4
27;3;2018;3;33;-6
28;3;2018;21;8;-5
29;3;2018;14;39;-4
30;3;2018;0;33;-3
31;3;2018;13;23;-2
1;4;2018;11;40;0
2;4;2018;20;17;2
3;4;2018;7;31;1
4;4;2018;13;43;3
5;4;2018;11;24;8
6;4;2018;22;42;5
7;4;2018;20;54;3
8;4;2018;13;38;5
9;4;2018;6;2;11
10;4;2018;2;53;3
11;4;2018;2;16;2
12;4;2018;19;37;4
13;4;2018;21;13;5
14;4;2018;9;7;8
15;4;2018;22;28;9
16;4;2018;15;37;9
17;4;2018;12;6;9
18;4;2018;3;27;6
19;4;2018;4;17;8
20;4;2018;10;49;9
21;4;2018;10;6;6
22;4;2018;14;2;3
23;4;2018;22;39;3
24;4;2018;22;6;5
25;4;2018;18;53;8
26;4;2018;4;30;7
27;4;2018;3;54;7
28;4;2018;22;0;7
29;4;2018;21;57;9
30;4;2018;21;53;9
1;5;2018;19;17;7
2;5;2018;4;42;9
3;5;2018;8;38;11
4;5;2018;18;16;10
5;5;2018;7;39;6
6;5;2018;5;29;10
7;5;2018;9;0;14
8;5;2018;23;18;13
9;5;2018;8;52;10
10;5;2018;6;59;13
11;5;2018;17;55;15
12;5;2018;10;0;17
13;5;2018;20;33;19
14;5;2018;22;27;21
15;5;2018;7;29;21
16;5;2018;18;23;15
17;5;2018;23;6;17
18;5;2018;12;22;16
19;5;2018;5;8;12
20;5;2018;14;38;14
21;5;2018;18;31;17
22;5;2018;14;35;19
23;5;2018;2;29;16
24;5;2018;13;6;14
25;5;2018;0;26;15
26;5;2018;19;47;19
27;5;2018;19;21;18
